property_id,domain,name,owasp_agentic,owasp_llm,mitre_atlas,skil_controls,skil_status
ASP-03.08,Data Confidentiality & Privacy,Purpose & Retention Bound,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-MP-001;SKIL-PERSISTENCE-STARTUP;SKIL-DATA-PURPOSE-VIOLATION;SKIL-DATA-RETENTION-UNBOUNDED,PARTIAL
ASP-04.01,"Identity, Authorization & Consent",Least-Privilege Permission Bound,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-AGENCY-TOOLS;SKIL-MCP-001,IMPLEMENTED
ASP-04.02,"Identity, Authorization & Consent",Underdeclared Capability Detection,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-CAP-DECLARATION-MISSING;SKIL-CAP-001,IMPLEMENTED
ASP-04.03,"Identity, Authorization & Consent",Overdeclared Capability Minimization,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-CAP-001,PARTIAL
ASP-04.04,"Identity, Authorization & Consent",Approval & Confirmation Integrity,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-AGENCY-APPROVAL,IMPLEMENTED
ASP-04.05,"Identity, Authorization & Consent",Credential Scope Minimization,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-AUTH-SCOPE-OVERBROAD,PARTIAL
ASP-04.06,"Identity, Authorization & Consent",Token Audience & Resource Binding,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-AUTH-AUDIENCE,PARTIAL
ASP-04.07,"Identity, Authorization & Consent",Credential Non-Transferability,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,SKIL-MCP-008,PARTIAL
ASP-04.08,"Identity, Authorization & Consent",Revocation & Stop Enforcement,ASI02;ASI03;ASI07,LLM02;LLM06,Valid Accounts;AI Agent Tool Credential Harvesting;Modify AI Agent Configuration,Policy revocation enforcement (revoked_signer_key_ids/revoked_artifact_digests/revoked_skills),IMPLEMENTED
ASP-05.01,"Tool, Capability & Agency Safety",Restricted Tool Surface,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-AGENCY-TOOLS;SKIL-MCP-001,IMPLEMENTED
ASP-05.02,"Tool, Capability & Agency Safety",Tool Parameter Safety,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-PY-002;SKIL-TAINT-EXECUTION;SKIL-MCP-004,IMPLEMENTED
ASP-05.03,"Tool, Capability & Agency Safety",Tool Chaining Safety,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-SH-001,PARTIAL
ASP-05.04,"Tool, Capability & Agency Safety",High-Impact Action Gating,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-AGENCY-APPROVAL,IMPLEMENTED
ASP-05.05,"Tool, Capability & Agency Safety",Safe Defaults,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-TRANSPORT-INSECURE,IMPLEMENTED
ASP-05.06,"Tool, Capability & Agency Safety",Capability Scope Confinement,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-CAP-001,PARTIAL
ASP-05.07,"Tool, Capability & Agency Safety",Side-Effect Disclosure,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-INTENT-UNDISCLOSED-OPERATION,PARTIAL
ASP-05.08,"Tool, Capability & Agency Safety",Autonomy Bound,ASI02;ASI03;ASI05;ASI10,LLM05;LLM06,AI Agent Tool Invocation;Command and Scripting Interpreter;Escape to Host,SKIL-AGENCY-BOUNDS,PARTIAL
ASP-06.01,Code Execution & Information-Flow Safety,Dynamic Execution Control,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-PY-001;SKIL-PY-004;SKIL-PY-REFLECT-EXEC,IMPLEMENTED
ASP-06.02,Code Execution & Information-Flow Safety,Process Execution Control,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-PY-002;SKIL-JS-001;SKIL-TAINT-EXECUTION,IMPLEMENTED
ASP-06.03,Code Execution & Information-Flow Safety,Shell Execution Safety,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-SH-001;SKIL-SH-002,IMPLEMENTED
ASP-06.04,Code Execution & Information-Flow Safety,Unsafe Deserialization Control,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-PY-003,IMPLEMENTED
ASP-06.05,Code Execution & Information-Flow Safety,Generated Output Execution Control,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-OUTPUT-EXECUTION;SKIL-TAINT-EXECUTION,IMPLEMENTED
ASP-06.06,Code Execution & Information-Flow Safety,Cross-Context Output Validation,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-OUTPUT-BOUNDARY,IMPLEMENTED
ASP-06.07,Code Execution & Information-Flow Safety,Information-Flow Integrity,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-TAINT-NETWORK;SKIL-TAINT-EXECUTION;SKIL-TAINT-FILESYSTEM-WRITE;SKIL-TAINT-LOG,IMPLEMENTED
ASP-06.08,Code Execution & Information-Flow Safety,Obfuscated & Malicious Payload Safety,ASI02;ASI05,LLM03;LLM05;LLM06,Command and Scripting Interpreter;Escape to Host;LLM Prompt Obfuscation,SKIL-OBF-001;SKIL-YARA-*,PARTIAL
ASP-07.01,"Memory, State & Persistence Integrity",Memory Poisoning Resistance,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,SKIL-MP-001,IMPLEMENTED
ASP-07.02,"Memory, State & Persistence Integrity",Context Stuffing Resistance,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,SKIL-MEMORY-SATURATION,IMPLEMENTED
ASP-07.03,"Memory, State & Persistence Integrity",State Manipulation Resistance,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,SKIL-MP-001;SKIL-AGENT-SELF-MODIFY,PARTIAL
ASP-07.04,"Memory, State & Persistence Integrity",Self-Modification Control,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,SKIL-AGENT-SELF-MODIFY,IMPLEMENTED
ASP-07.05,"Memory, State & Persistence Integrity",Persistence Authorization,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,SKIL-PERSISTENCE-STARTUP,IMPLEMENTED
ASP-07.06,"Memory, State & Persistence Integrity",State Ownership Isolation,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,,NEW
ASP-07.07,"Memory, State & Persistence Integrity",Memory Provenance & Trust Labels,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,,NEW
ASP-07.08,"Memory, State & Persistence Integrity",Memory Lifecycle & Expiry,ASI06;ASI10,LLM01;LLM04;LLM06,AI Agent Context Poisoning;Modify AI Agent Configuration;LLM Prompt Self-Replication,,NEW
ASP-08.01,Inter-Agent & Delegation Security,Agent Identity Authentication,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-A2A-001,PARTIAL
ASP-08.02,Inter-Agent & Delegation Security,Inter-Agent Message Integrity,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,,NEW
ASP-08.03,Inter-Agent & Delegation Security,Delegation Monotonicity,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-A2A-002,PARTIAL
ASP-08.04,Inter-Agent & Delegation Security,Confused-Deputy Resistance,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-MCP-008,PARTIAL
ASP-08.05,Inter-Agent & Delegation Security,Cross-Agent Trust Propagation Bound,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-OUTPUT-BOUNDARY,PARTIAL
ASP-08.06,Inter-Agent & Delegation Security,Inter-Agent Output Validation,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-OUTPUT-BOUNDARY;SKIL-TAINT-*,PARTIAL
ASP-08.07,Inter-Agent & Delegation Security,Collusion & Self-Replication Containment,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,SKIL-A2A-004,PARTIAL
ASP-08.08,Inter-Agent & Delegation Security,Delegation Chain Traceability,ASI03;ASI07;ASI08;ASI10,LLM02;LLM05;LLM06,AI Agent Tool Invocation;AI Agent Tool Data Poisoning;AI Agent Tool Poisoning,Enforcer delegation_depth bound and decision-record audit trail,PARTIAL
ASP-09.01,"Supply Chain, Provenance & Artifact Integrity",Publisher Authenticity,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-09.02,"Supply Chain, Provenance & Artifact Integrity",Artifact Signature Verification,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-09.03,"Supply Chain, Provenance & Artifact Integrity",Payload Integrity,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-09.04,"Supply Chain, Provenance & Artifact Integrity",Provenance & Build Attestation,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-09.05,"Supply Chain, Provenance & Artifact Integrity",Version Lineage & Rollback Protection,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,Policy revocation enforcement (revoked_artifact_digests/revoked_skills),PARTIAL
ASP-09.06,"Supply Chain, Provenance & Artifact Integrity",Update Revalidation,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-MCP-005,PARTIAL
ASP-09.07,"Supply Chain, Provenance & Artifact Integrity",Tool & Dependency Substitution Integrity,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-MCP-003;SKIL-MCP-005,PARTIAL
ASP-09.08,"Supply Chain, Provenance & Artifact Integrity",Review-to-Execution Integrity,ASI04;ASI10,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-BOUNDARY-MUTABLE-IMAGE;Enforcer reviewed_closure digest binding (TOCTOU enforcement),IMPLEMENTED
ASP-10.01,MCP & Integration Protocol Security,MCP Wildcard Permission Prevention,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,SKIL-MCP-001,IMPLEMENTED
ASP-10.02,MCP & Integration Protocol Security,MCP Metadata Poisoning Resistance,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,SKIL-MCP-002;SKIL-UNI-001,PARTIAL
ASP-10.03,MCP & Integration Protocol Security,MCP Parameter Injection Resistance,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,SKIL-MCP-004;SKIL-MCP-007,IMPLEMENTED
ASP-10.04,MCP & Integration Protocol Security,MCP Tool Identity Stability,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,SKIL-MCP-003;SKIL-MCP-005,IMPLEMENTED
ASP-10.05,MCP & Integration Protocol Security,MCP Description–Behavior Consistency,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,SKIL-MCP-006;SKIL-INTENT-DESCRIPTION,PARTIAL
ASP-10.06,MCP & Integration Protocol Security,OAuth Authorization URL Safety,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,,NEW
ASP-10.07,MCP & Integration Protocol Security,MCP State-Handle Ownership Binding,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,,NEW
ASP-10.08,MCP & Integration Protocol Security,Local MCP/stdio Isolation,ASI02;ASI03;ASI04;ASI07,LLM03;LLM05;LLM06,AI Agent Tool Poisoning;AI Agent Tool Data Poisoning;AI Agent Tool Credential Harvesting,,NEW
ASP-11.01,"Network, Filesystem & Runtime Boundary Security",Outbound Network Boundary,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-NET-001;SKIL-TAINT-NETWORK,PARTIAL
ASP-11.02,"Network, Filesystem & Runtime Boundary Security",Cloud Metadata SSRF Protection,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-METADATA,IMPLEMENTED
ASP-11.03,"Network, Filesystem & Runtime Boundary Security",Internal & Loopback SSRF Protection,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-SSRF-INTERNAL,IMPLEMENTED
ASP-11.04,"Network, Filesystem & Runtime Boundary Security",Dynamic-Target SSRF Protection,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-SSRF,IMPLEMENTED
ASP-11.05,"Network, Filesystem & Runtime Boundary Security",Agent & MCP Configuration Isolation,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-AGENT-STATE;SKIL-BOUNDARY-MCP-CONFIG,IMPLEMENTED
ASP-11.06,"Network, Filesystem & Runtime Boundary Security",Peer Skill Isolation,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-PEER-SKILL,IMPLEMENTED
ASP-11.07,"Network, Filesystem & Runtime Boundary Security",Container Control-Plane Isolation,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-CONTAINER,IMPLEMENTED
ASP-11.08,"Network, Filesystem & Runtime Boundary Security",Host Escape & Privilege-Escalation Prevention,ASI02;ASI03;ASI05,LLM02;LLM05;LLM06,Escape to Host;Command and Scripting Interpreter;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-CONTAINER-ESCAPE;SKIL-SH-002,IMPLEMENTED
ASP-12.01,"Resource, Availability & Failure Containment",Resource Budget Bound,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,SKIL-AGENCY-BOUNDS,IMPLEMENTED
ASP-12.02,"Resource, Availability & Failure Containment",Output Bound,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,SKIL-OUTPUT-LIMIT,IMPLEMENTED
ASP-12.03,"Resource, Availability & Failure Containment",Rate & Quota Bound,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,SKIL-AGENCY-BOUNDS,PARTIAL
ASP-12.04,"Resource, Availability & Failure Containment",Loop & Recursion Bound,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,Enforcer max_recursion_depth/max_delegation_depth bound,PARTIAL
ASP-12.05,"Resource, Availability & Failure Containment",Cascading Failure Containment,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,,NEW
ASP-12.06,"Resource, Availability & Failure Containment",Circuit Breaker & Kill-Switch Effectiveness,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,,NEW
ASP-12.07,"Resource, Availability & Failure Containment",Retry & Backoff Safety,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,SKIL-AGENCY-BOUNDS;Enforcer max_retries bound,PARTIAL
ASP-12.08,"Resource, Availability & Failure Containment",Idempotency & Duplicate-Action Safety,ASI02;ASI08;ASI10,LLM06;LLM10,AI Agent Tool Invocation,,NEW
ASP-13.01,Human-Agent Trust & Safety,Risk Disclosure Integrity,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-INTENT-UNDISCLOSED-OPERATION,PARTIAL
ASP-13.02,Human-Agent Trust & Safety,Consent Specificity,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-AGENCY-APPROVAL,PARTIAL
ASP-13.03,Human-Agent Trust & Safety,Deceptive Risk Framing Resistance,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-INTENT-BEHAVIOR-MANIPULATION,PARTIAL
ASP-13.04,Human-Agent Trust & Safety,Confirmation UI/Message Integrity,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-AGENCY-APPROVAL,PARTIAL
ASP-13.05,Human-Agent Trust & Safety,Physical-Harm Operational Safety,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-ABUSE-PHYSICAL-HARM,IMPLEMENTED
ASP-13.06,Human-Agent Trust & Safety,Malware & Phishing Objective Safety,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-ABUSE-MALWARE;SKIL-ABUSE-PHISHING,IMPLEMENTED
ASP-13.07,Human-Agent Trust & Safety,Destructive & Recovery-Inhibition Safety,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-ABUSE-DESTRUCTION,IMPLEMENTED
ASP-13.08,Human-Agent Trust & Safety,Security-Control Evasion Safety,ASI01;ASI02;ASI09;ASI10,LLM01;LLM06;LLM09,AI Agent Clickbait;LLM Jailbreak,SKIL-ABUSE-EVASION,IMPLEMENTED
